,0
Tvent [K],302.9391586538462
Tl8 [C],470.90737019230767
T6 [C],470.6170673076924
T4 [C],474.1989519230772
T2 [C],456.0297163461537
Pbypass [PSI],1331.126374519231
dPbypass [PA],4384.716403365383
dPtest [PSI],18.224163139423084
Pvent [PSI],1452.859944711539
Tbypass [K],438.3360144230774
Treturn [K],301.75642788461533
Tout [C],430.60060096153796
Tin [C],424.81626923076834
Preturn [PSI],1317.8758471153847
dPreturn [PA],5486.929695837871
dPvent [PA],3279.0347245820662
Ptest [PSI],1392.1898259615384
Pinlet [PSI],1425.1139891009616
Poutlet [PSI],1406.889825961539
Taverage [C],427.7084350961542
Paverage [PSI],1416.0019075312496
m_dot [kg/s],0.007410607459191297
Re [-],27987.380905659036
q [W/m^2],980553.4928870379
Nu [-],126.58075225052501
h [W/(m^2 K),34816.413309773045
K_L [-],1.7586915367112923
