,0
Tvent [K],305.52862980769237
Tl8 [C],452.88949038461544
T6 [C],454.01710096153863
T4 [C],460.0064134615386
T2 [C],440.5127692307693
Pbypass [PSI],1320.4551504807694
dPbypass [PA],3699.015723076925
dPtest [PSI],14.565499177884611
Pvent [PSI],1472.5070730769237
Tbypass [K],431.6118990384615
Treturn [K],303.75014423076937
Tout [C],413.5036874999995
Tin [C],406.62116346153846
Preturn [PSI],1309.385096153846
dPreturn [PA],4974.001000551784
dPvent [PA],2795.672875503995
Ptest [PSI],1411.142765865385
Pinlet [PSI],1440.4082650432697
Poutlet [PSI],1425.8427658653852
Taverage [C],410.0624254807692
Paverage [PSI],1433.1255154543267
m_dot [kg/s],0.006859183421093816
Re [-],26367.336635165415
q [W/m^2],1079889.859258628
Nu [-],132.40268041094942
h [W/(m^2 K),35794.93948468963
K_L [-],1.7021834550885973
