,0
Tvent [K],303.8847067307692
Tl8 [C],63.141903846153845
T6 [C],63.30156249999996
T4 [C],64.92032211538465
T2 [C],60.028442307692266
Pbypass [PSI],1342.1619447115388
dPbypass [PA],3431.980649519229
dPtest [PSI],8.327369168269232
Pvent [PSI],1483.1521735576925
Tbypass [K],307.1764278846156
Treturn [K],301.80056249999996
Tout [C],38.21563942307693
Tin [C],34.57885576923076
Preturn [PSI],1330.399441346154
dPreturn [PA],5489.319047684355
dPvent [PA],3523.1759725507363
Ptest [PSI],1427.4126048076917
Pinlet [PSI],1450.4399739759608
Poutlet [PSI],1442.1126048076915
Taverage [C],36.39724759615387
Paverage [PSI],1446.2762893918257
m_dot [kg/s],0.007746574355120882
Re [-],51031.17166965078
q [W/m^2],645418.9751036408
Nu [-],199.465989041678
h [W/(m^2 K),31755.45355980359
K_L [-],1.6551994523880278
