,0
Tvent [K],304.8274711538462
Tl8 [C],454.26495673076937
T6 [C],455.46372596153793
T4 [C],462.71870673076916
T2 [C],441.8132596153847
Pbypass [PSI],1351.0801129807694
dPbypass [PA],2672.3853336538455
dPtest [PSI],10.966053085096148
Pvent [PSI],1463.4042312499998
Tbypass [K],425.0314374999999
Treturn [K],303.30575000000005
Tout [C],412.2114807692299
Tin [C],404.75180769230855
Preturn [PSI],1337.8829394230777
dPreturn [PA],5201.769606962008
dPvent [PA],2114.3162901276164
Ptest [PSI],1409.7516413461535
Pinlet [PSI],1435.4176944312492
Poutlet [PSI],1424.4516413461547
Taverage [C],408.481644230769
Paverage [PSI],1429.9346678887002
m_dot [kg/s],0.005953420884334217
Re [-],22922.590949013967
q [W/m^2],1015888.8413820069
Nu [-],112.79812199801752
h [W/(m^2 K),30445.802106060914
K_L [-],1.7012836518300796
