,0
Tvent [K],0.07627127698096915
Tl8 [C],0.12599043156908435
T6 [C],0.12632291017351815
T4 [C],0.128335962339289
T2 [C],0.12253695241669954
Pbypass [PSI],0.0
dPbypass [PA],0.0
dPtest [PSI],0.0033096118388769723
Pvent [PSI],0.3466876226407675
Tbypass [K],0.07627127698096915
Treturn [K],0.07627127698096915
Tout [C],0.06756407665603367
Tin [C],0.06652960605308837
Preturn [PSI],0.8320502943378437
dPreturn [PA],0.8161966030309147
dPvent [PA],0.822215283971033
Ptest [PSI],0.3466876226407675
Pinlet [PSI],0.3467034196872466
Poutlet [PSI],0.3466876226407675
Taverage [C],0.04741068691751241
Paverage [PSI],0.34669157196986866
m_dot [kg/s],1.5125325959478878e-06
Re [-],1137.8457226727564
q [W/m^2],14235.512354228922
Nu [-],5.892142975295455
h [W/(m^2 K),621.9849386543243
K_L [-],0.04203758002110261
