,0
Tvent [K],304.2894230769232
Tl8 [C],476.52434615384584
T6 [C],477.7505528846156
T4 [C],484.8022067307689
T2 [C],462.9213557692309
Pbypass [PSI],1324.9158221153843
dPbypass [PA],747.132148735577
dPtest [PSI],3.6678505158653847
Pvent [PSI],1456.4802216346159
Tbypass [K],405.389783653846
Treturn [K],302.33280769230765
Tout [C],421.60100000000017
Tin [C],410.7375288461532
Preturn [PSI],1309.1076302884608
dPreturn [PA],5011.613341399038
dPvent [PA],716.8249387590471
Ptest [PSI],1419.9136576923083
Pinlet [PSI],1438.2815082081738
Poutlet [PSI],1434.6136576923082
Taverage [C],416.1692644230771
Paverage [PSI],1436.4475829502403
m_dot [kg/s],0.003460813467052913
Re [-],13221.535700503051
q [W/m^2],860245.7132072782
Nu [-],67.84427984083372
h [W/(m^2 K),18453.919659154617
K_L [-],1.672960312872769
