,0
Tvent [K],0.07627127698096915
Tl8 [C],0.13208003929485407
T6 [C],0.13201206035903332
T4 [C],0.1329371712235386
T2 [C],0.12776617196248286
Pbypass [PSI],0.0
dPbypass [PA],0.0
dPtest [PSI],0.0033096118388769723
Pvent [PSI],0.3466876226407675
Tbypass [K],0.07627127698096915
Treturn [K],0.07627127698096915
Tout [C],0.07030162510988226
Tin [C],0.06930409871126492
Preturn [PSI],0.8320502943378437
dPreturn [PA],0.8168559341654785
dPvent [PA],0.8222723193467597
Ptest [PSI],0.3466876226407675
Pinlet [PSI],0.3467034196872466
Poutlet [PSI],0.3466876226407675
Taverage [C],0.049359336987218484
Paverage [PSI],0.34669157196986866
m_dot [kg/s],1.5237037906289746e-06
Re [-],1087.224535771359
q [W/m^2],14264.279351950143
Nu [-],5.637774644047762
h [W/(m^2 K),621.0108667012775
K_L [-],0.04336280115046213
