,0
Tvent [K],0.07627127698096915
Tl8 [C],0.1097682775501019
T6 [C],0.10992690169679487
T4 [C],0.1099020913976158
T2 [C],0.10637216877762888
Pbypass [PSI],0.0
dPbypass [PA],0.0
dPtest [PSI],0.0033096118388769723
Pvent [PSI],0.3466876226407675
Tbypass [K],0.07627127698096915
Treturn [K],0.07627127698096915
Tout [C],0.06052171663448955
Tin [C],0.059606223257980824
Preturn [PSI],0.8320502943378437
dPreturn [PA],0.8164604542630136
dPvent [PA],0.8221131627849119
Ptest [PSI],0.3466876226407675
Pinlet [PSI],0.3467034196872466
Poutlet [PSI],0.3466876226407675
Taverage [C],0.04247287380042023
Paverage [PSI],0.34669157196986866
m_dot [kg/s],1.5098141040697418e-06
Re [-],1426.1208324738343
q [W/m^2],15120.105506117872
Nu [-],9.186437002426185
h [W/(m^2 K),1031.828313241388
K_L [-],0.04186901353187583
