,0
Tvent [K],303.0407548076924
Tl8 [C],494.89340865384634
T6 [C],494.54550961538456
T4 [C],497.12965865384626
T2 [C],477.7402019230768
Pbypass [PSI],1326.0052461538467
dPbypass [PA],449.3018416370193
dPtest [PSI],2.9059957990384637
Pvent [PSI],1453.6764750000004
Tbypass [K],404.2838173076923
Treturn [K],300.36961057692304
Tout [C],436.05586538461677
Tin [C],424.8606490384599
Preturn [PSI],1310.7429490384623
dPreturn [PA],5388.775175102175
dPvent [PA],553.144966787057
Ptest [PSI],1418.4741447115384
Pinlet [PSI],1436.0801405105776
Poutlet [PSI],1433.1741447115382
Taverage [C],430.45825721153847
Paverage [PSI],1434.6271426110582
m_dot [kg/s],0.003043796516035901
Re [-],11463.521926184436
q [W/m^2],779487.2093506979
Nu [-],59.98976886294059
h [W/(m^2 K),16547.35010900091
K_L [-],1.6773618764577172
