,0
Tvent [K],0.07627127698096915
Tl8 [C],0.12379992539484963
T6 [C],0.12391920358935668
T4 [C],0.12667541373169086
T2 [C],0.11904278289646011
Pbypass [PSI],0.0
dPbypass [PA],0.0
dPtest [PSI],0.0033096118388769723
Pvent [PSI],0.3466876226407675
Tbypass [K],0.07627127698096915
Treturn [K],0.07627127698096915
Tout [C],0.06694453198551342
Tin [C],0.06586307062573359
Preturn [PSI],0.8320502943378437
dPreturn [PA],0.8167876076906582
dPvent [PA],0.822149493945002
Ptest [PSI],0.3466876226407675
Pinlet [PSI],0.3467034196872466
Poutlet [PSI],0.3466876226407675
Taverage [C],0.046956134942651016
Paverage [PSI],0.34669157196986866
m_dot [kg/s],1.6239028015249319e-06
Re [-],944.2422138345753
q [W/m^2],11762.862283140383
Nu [-],5.687687715183742
h [W/(m^2 K),578.2354419228877
K_L [-],0.041826996895068344
