,0
Tvent [K],304.2413990384615
Tl8 [C],459.2739374999998
T6 [C],459.81560576923096
T4 [C],467.1411201923074
T2 [C],441.03221634615363
Pbypass [PSI],1333.699614423077
dPbypass [PA],459.97703100480766
dPtest [PSI],2.569354541346156
Pvent [PSI],1470.0374399038462
Tbypass [K],397.61289903846176
Treturn [K],302.1138125000001
Tout [C],409.73898557692195
Tin [C],399.0293173076924
Preturn [PSI],1317.8358461538462
dPreturn [PA],5440.118098681978
dPvent [PA],522.7051626605785
Ptest [PSI],1431.7237033653842
Pinlet [PSI],1448.9930579067309
Poutlet [PSI],1446.423703365384
Taverage [C],404.3841514423076
Paverage [PSI],1447.7083806360574
m_dot [kg/s],0.002969271717956835
Re [-],11480.096082533873
q [W/m^2],727414.0992718114
Nu [-],66.8098900995725
h [W/(m^2 K),17961.89490503374
K_L [-],1.6316097819972908
