,0
Tvent [K],305.37133653846166
Tl8 [C],438.39113461538454
T6 [C],438.73009134615376
T4 [C],447.1479615384616
T2 [C],421.9116971153842
Pbypass [PSI],1302.7450317307687
dPbypass [PA],2993.269415865385
dPtest [PSI],11.800871201923085
Pvent [PSI],1482.3089836538454
Tbypass [K],425.2300240384614
Treturn [K],303.20525480769237
Tout [C],406.94532692307655
Tin [C],400.48737019230765
Preturn [PSI],1287.9209576923079
dPreturn [PA],5228.70257835967
dPvent [PA],2293.917165245544
Ptest [PSI],1422.5797432692304
Pinlet [PSI],1449.0806144711532
Poutlet [PSI],1437.2797432692319
Taverage [C],403.71634855769236
Paverage [PSI],1443.180178870192
m_dot [kg/s],0.0062346891159766665
Re [-],24122.024386079032
q [W/m^2],921016.5023925677
Nu [-],151.70472895336914
h [W/(m^2 K),40756.797530782314
K_L [-],1.6961312712633443
