,0
Tvent [K],0.07627127698096915
Tl8 [C],0.12697935608954872
T6 [C],0.1270533593453601
T4 [C],0.13139395835816006
T2 [C],0.12142988763885758
Pbypass [PSI],0.0
dPbypass [PA],0.0
dPtest [PSI],0.0033096118388769723
Pvent [PSI],0.3466876226407675
Tbypass [K],0.07627127698096915
Treturn [K],0.07627127698096915
Tout [C],0.06714002343232571
Tin [C],0.06581442221548381
Preturn [PSI],0.8320502943378437
dPreturn [PA],0.8168139447554039
dPvent [PA],0.822155335063098
Ptest [PSI],0.3466876226407675
Pinlet [PSI],0.3467034196872466
Poutlet [PSI],0.3466876226407675
Taverage [C],0.04700883139914038
Paverage [PSI],0.34669157196986866
m_dot [kg/s],1.5293624716841725e-06
Re [-],1100.7700500253736
q [W/m^2],14380.768448492476
Nu [-],6.329283780363526
h [W/(m^2 K),630.1676694095688
K_L [-],0.04188727525218707
