,0
Tvent [K],0.07627127698096915
Tl8 [C],0.12186047944196292
T6 [C],0.12195383205424448
T4 [C],0.12443140215207658
T2 [C],0.11725109647330668
Pbypass [PSI],0.0
dPbypass [PA],0.0
dPtest [PSI],0.0033096118388769723
Pvent [PSI],0.3466876226407675
Tbypass [K],0.07627127698096915
Treturn [K],0.07627127698096915
Tout [C],0.06678732994394672
Tin [C],0.06588594951540928
Preturn [PSI],0.8320502943378437
dPreturn [PA],0.8167735631227651
dPvent [PA],0.8221303185438305
Ptest [PSI],0.3466876226407675
Pinlet [PSI],0.3467034196872466
Poutlet [PSI],0.3466876226407675
Taverage [C],0.04690817035599629
Paverage [PSI],0.34669157196986866
m_dot [kg/s],1.507395507762774e-06
Re [-],1327.5578810018076
q [W/m^2],16017.729411489045
Nu [-],8.847415906601572
h [W/(m^2 K),1085.4407365699767
K_L [-],0.041757192283932695
