,0
Tvent [K],0.07627127698096915
Tl8 [C],0.12972531847159727
T6 [C],0.12964765135527084
T4 [C],0.12970250878241868
T2 [C],0.12598320722719214
Pbypass [PSI],0.0
dPbypass [PA],0.0
dPtest [PSI],0.0033096118388769723
Pvent [PSI],0.3466876226407675
Tbypass [K],0.07627127698096915
Treturn [K],0.07627127698096915
Tout [C],0.06997648756384352
Tin [C],0.06920852721441303
Preturn [PSI],0.8320502943378437
dPreturn [PA],0.8170084023565661
dPvent [PA],0.8222790935684111
Ptest [PSI],0.3466876226407675
Pinlet [PSI],0.3467034196872466
Poutlet [PSI],0.3466876226407675
Taverage [C],0.04921008293774987
Paverage [PSI],0.34669157196986866
m_dot [kg/s],1.530269886164989e-06
Re [-],1395.055010147383
q [W/m^2],17636.548832944103
Nu [-],7.157921008109247
h [W/(m^2 K),922.6720267656442
K_L [-],0.04217014391960321
